carrier_id,name,country,industry,revenue_usd,ebitda_margin,current_ratio,quick_ratio,debt_to_equity,interest_coverage,on_time_delivery_rate,lead_time_mean,lead_time_std,inventory_turnover,supplier_concentration_hhi,customer_concentration_hhi,dso,dpo,dio,cash_conversion_cycle,fill_rate,freight_cost_ratio,capacity_utilization,betweenness_centrality,clustering_coeff,pagerank,country_risk_score,natural_disaster_exposure,geopolitical_risk,port_proximity_score,carrier_failure,carrier_tenure_days,carrier_type,region,fleet_size,credit_score,damage_rate,cost_per_kg
SUP-0000,中島建設株式会社,TW,Machinery,5474523.577131982,0.123470925872655,2.5252063481325053,1.5112481674668696,1.1494956210729135,0.8187241214492625,0.934437496752387,32.17922162827152,7.66749533589662,5.862741386924346,1951.029616768484,4038.9428068369134,60.936739345973,40.94445711697422,46.1876304388287,66.17991266782748,0.9584113861227206,0.1414813842983337,0.9062335325080324,0.04589473831651606,0.37759256570341,0.0009667782496037897,0.24851802784258725,0.664979641186794,0.5197788633112621,0.8406573026750864,0,2956,Road,MEA,351,727,0.04971015742164478,6.373023927395255
SUP-0001,(유) 글로벌국민소프트,DE,Semiconductors,153423942.6193223,0.3383949544586561,2.1834804166276793,1.5848597980704398,0.9555624923539474,7.294439993733516,0.9176983595378744,8.618415979753728,1.7510955260439092,20.0,3646.1723626359253,4037.798740412503,46.97789846511602,16.787874415158097,33.52537002994315,63.71539407990106,0.9095382015231008,0.02400165125819067,0.6937667097280606,0.014072134616094894,0.17112764093852406,0.00021250720915793323,0.11585887331859514,0.2593026433296807,0.09152955304718269,0.7905833178668076,0,2696,Ocean,APAC,54,669,0.22594355553289067,2.6842742749791646
SUP-0002,合联电子网络有限公司,FR,Semiconductors,25886282.37601989,0.2015594755680294,1.0370809794781446,0.6073489872608472,1.5330638059974437,2.1743476033882483,0.973173295602994,3.7516746844235285,1.493776955528962,7.987777291805729,2570.485692628576,1662.2477029266154,52.44119406342413,49.237469318275515,63.555455790011095,66.75918053515971,0.9699413389168595,0.0978213402211224,0.7584421878138922,0.06788880515737448,0.26452044279260184,0.000607567938602595,0.13680771449803236,0.0792901095307513,0.09591985999534838,0.7764052457466946,0,2051,Ocean,EMEA,377,811,0.019389589532507644,7.452045244058022
SUP-0003,晖来计算机传媒有限公司,MX,Apparel,13720594.38307051,0.22130590033056263,1.505371204033639,1.1843396730318156,1.6972585312284516,2.6361524443621476,0.8414422997911197,20.390778294146145,2.723811745801779,5.483831168929522,1162.3418766961524,700.0970079794179,45.75251691664966,25.43941841985691,77.04704398640592,97.36014248319867,0.9907988736220589,0.09577420709045868,0.6257759712312927,0.013755254263208793,0.4446769236588251,0.0006516516921852568,0.48434041539796724,0.5748403284595287,0.4464968750157103,0.7157813949184134,0,3238,Ocean,AMER,58,828,0.0395148610798047,5.658531385870286
SUP-0004,Mude,CN,Food & Beverage,19533395.310270663,0.20190413584559658,2.2902402470725867,1.4529159358853796,1.307314578773498,7.398380403269741,0.986144930823771,25.79682846888975,4.556550178236287,3.7093220793088424,3131.1090629397154,3210.0431962650823,34.31390250913076,17.097354245265567,65.69014057171366,82.90668883557885,0.9933552822135788,0.13229498794161107,0.771814577316128,0.0015085199769480026,0.15418527989342415,0.000667055078056588,0.5061992573068889,0.42427453879659066,0.45930707251647834,0.8144128781009801,0,494,Road,LATAM,30,687,0.02088754911933608,2.31993104483708
SUP-0005,"Townsend, Smith and Pierce",AU,Machinery,37740488.317533955,0.06112258529788474,1.9447434251530358,1.4752132206986401,2.590356601274918,5.493927000262597,0.9504011638786558,27.92738765125581,10.134389555313561,14.192350161121787,1179.9317970660722,1600.2733408564964,23.920612045411293,56.71137054473067,35.2292184325237,2.438459933204328,0.9571257851853917,0.07826353593431083,0.8108631781513144,0.018166683305969072,0.16868604206316276,0.004622529126598525,0.14770214436496445,0.38243864090552454,0.05002868012078915,0.6362396288406937,0,3364,Ocean,APAC,62,504,0.001688358973721598,8.199977519485167
SUP-0006,佳禾传媒有限公司,BR,Pharmaceuticals,82940032.06436543,0.1907158969987895,1.1132364396555086,0.9162235383893131,0.9322188239094782,3.0328809601878826,0.8529235260683427,20.47437290919695,2.722401172476818,6.202693543685365,2726.1778047386374,3762.288079390758,34.60401872740916,29.167729349634524,59.02202929472176,64.4583186724964,0.8471033225956878,0.028705718049698774,0.8474029338986707,0.07154107145773114,0.5205198822041954,0.00010143291742762284,0.5465386332360014,0.5443468640699957,0.48464275018061176,0.5945222194332601,0,3107,Multimodal,AMER,232,629,0.003357868418989358,13.69521552927593
SUP-0007,维旺明信息有限公司,TW,Metals,3270899.3729641316,0.1157247278912844,1.9802491036927274,1.196670385395749,2.439283695369984,2.6652969942894584,0.9748924062731603,22.214824551721588,1.780373342832505,4.974495539939982,717.6665157238718,661.1719606178704,24.776744099566002,64.26752107637353,42.05510149211085,2.5643245153033263,0.9137000647966982,0.08717785268251779,0.7640652354291889,0.061815422556197264,0.2629366313888542,0.015328025264930958,0.3125216428197105,0.7017980460164878,0.532181800030187,0.8847336729649192,0,1853,Road,APAC,311,533,0.06122697492084315,7.395834858407417
SUP-0008,Pearson and Sons,CN,Apparel,3008116.624543206,0.09181104111298277,0.8682720612397229,0.5798818792707728,1.8646972587750517,4.95634633941185,0.9178531023639063,12.509233317469116,1.8961438039543008,8.742092758037412,4260.442153664104,6032.469305673699,44.45431906386114,48.83964847452662,21.80473200560004,17.41940259493456,0.7551259876066124,0.08574040168791536,0.571848781467113,0.048442524964524905,0.49180683393615315,0.0006905452337757082,0.42737277788883005,0.5311779087305861,0.46848395193872544,0.7988218514462068,0,2684,Multimodal,LATAM,206,646,0.06714956584359268,9.147607627392288
SUP-0009,(주) 넥스트,JP,Electronics,220048477.16765952,0.14373059133457744,1.5421126813439625,1.1475410015664342,1.3401506701611412,3.229823713851223,0.9720904141276865,4.313942366583981,1.4305948867656453,10.225242476213756,2617.4305913942344,860.4096880417167,50.53731287273717,21.77454698339031,56.62013642974143,85.38290231908829,0.9179060379471676,0.09036434792055971,0.9588956507723533,0.018508786770712358,0.19709579707806518,0.0017320332919985863,0.1813443860725763,0.8092821987822544,0.09232565204579907,0.9080166029459069,0,1913,Rail,LATAM,65,746,0.06579363564018184,4.677134755934426
SUP-0010,株式会社中川電気,DE,Electronics,10588999.694803271,0.13509624945844687,2.3195820783754026,1.5677999083816192,1.1174373860390485,1.8452417396638068,0.9628418142111453,12.353513552003584,4.318960259789494,10.144954279905301,3269.5980277467697,1890.9732322925233,66.07057259400602,28.962563424086806,43.51326440563592,80.62127357555514,0.9146073966910749,0.0598955609390749,0.8731296390201957,0.006356025495226087,0.34180211615337164,0.0008787398209696211,0.04029697599876765,0.05017287301824537,0.15124743495324872,0.8030435059760733,0,1002,Ocean,AMER,103,503,0.013462400443281692,1.9527673885789578
SUP-0011,合同会社藤原食品,SG,Metals,1420210.7226585862,0.28680348515162646,1.6578445000872903,0.9987612613130943,5.7892378757189125,3.4347682454246304,0.8591151942657625,16.622985166578726,1.2037444388431373,7.462386069471494,5277.69139842516,1111.2482942355982,42.4661401576312,31.450509265135103,147.9351498481043,158.95078074060038,0.6946076353441173,0.06775682218417825,0.9324846155948598,0.007843084135799117,0.4136468646283314,5.4472669676821256e-05,0.16979174046896373,0.2346702943113319,0.12083599098925361,0.9641197438926665,0,2925,Ocean,EMEA,426,578,0.026245831953945892,1.7823625765261055
SUP-0012,Evans PLC,VN,Electronics,58680933.46111791,0.1105190597066155,1.4195199271951782,0.7931162806458492,0.8267894672380556,5.880689980237645,0.8907614135809488,11.385777305544218,3.020616513362911,8.001228308394888,4861.715477134809,4256.143704044627,52.97553179134382,55.17562501776177,83.81696486086504,81.61687163444708,0.8039427264741626,0.08295374682817185,0.4131181797018626,1.5577270797533208e-05,0.32065760492438394,0.00014869065059885977,0.5069992631364113,0.6358426315171215,0.3508433518126401,0.6910205944454372,0,920,Rail,APAC,481,325,0.012361831967929783,5.091339820387518
SUP-0013,Mitchell-Hays,GB,Automotive,61021670.4339271,0.09692969411409456,2.152874392798767,1.4466873355599625,1.6140715604282847,3.886531934942653,0.9265021389470527,11.129307461111408,2.741760703613179,8.298033324251358,4110.670843544476,2769.7282229447305,32.49681566860785,35.69487372532086,57.7183460317928,54.52028797507978,0.9481345191073614,0.04537784757941952,0.740154728034019,0.012313212503080524,0.1656094193284376,0.0003304054842274605,0.06005368230294484,0.07390674127431729,0.12173104969430518,0.9272163520375197,0,1168,Ocean,MEA,378,705,0.013905110444694967,3.333459308410645
SUP-0014,유한회사 글로벌,DE,Pharmaceuticals,1130951.0631279482,0.11113267327176629,2.2087473492237417,1.6449926570395406,0.8605948505570936,1.4465669397356815,0.8633050715321021,7.522819344190803,2.1780990745280833,8.742516985461682,466.09309037177746,1862.7741850862817,30.22559689813638,32.15336299369953,45.8137951833681,43.88602908780494,0.7762717872354866,0.03995301699798864,0.7320630019884231,0.0011983308795737219,0.3014538186693429,0.003220571756456025,0.060549076224965886,0.15150945697551418,0.06039505854711058,0.8780481922638851,0,1909,Ocean,LATAM,56,569,0.013743086156718097,2.83689986987932
SUP-0015,(유) 다올글로벌에이아이,CN,Electronics,38223590.331868775,0.21969026835575273,2.442475093771993,1.7639439413638638,3.9407554723194647,9.887305851022004,0.8270483056028762,7.382635054682626,2.146137530096121,9.13800963885577,3822.20951634032,2649.2273604055918,44.23289558724602,27.661682855830684,43.897664909067366,60.46887764048271,0.9117815184043772,0.06895039422835472,0.8731294825748684,0.03347106545144295,0.24422485610232403,9.094480245864988e-05,0.4710624382022413,0.5790624007705064,0.5138452854539816,0.7526245725404676,0,3061,Multimodal,EMEA,410,552,0.07783138167565527,4.343266253443891
SUP-0016,通际名联信息有限公司,IN,Pharmaceuticals,105178155.02553731,0.05423224432152259,2.1432057636847643,1.2792203077006992,2.2981301115093804,0.5010501167061491,0.8264558395091216,30.54112870573343,11.741554064216539,12.771630904753938,5709.4541057014385,2228.661174099251,31.35616350900879,29.36422761327393,24.48731670961285,26.479252605347707,0.9253658183378309,0.031617170769978296,0.8265083319266957,0.02282789885436607,0.19350167326195641,0.00020096450876415663,0.38308744481581897,0.6399663154937314,0.36141738869761725,0.5556666067425575,0,1419,Road,AMER,347,592,0.02110783035824278,6.096974374393123
SUP-0017,数字100信息有限公司,CN,Machinery,51073325.00979473,0.20057932935623166,2.2805404131248643,1.5626446110196746,0.8985167530964565,3.135873852199047,0.8847872316730879,31.098922893629332,4.63740944908806,7.600449809587432,1394.0532214789419,2123.8940367458076,40.7589038632549,50.493107118952544,16.954043948450256,7.219840692752612,0.9032319356812503,0.04884633562660149,0.7764425734227629,0.00955347006276783,0.4074014752555857,0.0009289089451095325,0.4772299774360825,0.5557996341656211,0.4763613333057019,0.8175241130316564,0,1818,Air,LATAM,265,418,0.06486954933374248,2.1676014347546495
SUP-0018,주식회사 넥스트,GB,Electronics,85494531.04906741,0.16189610674556082,2.05417142521204,1.3574813435192403,1.8359407052452656,2.728743471404809,0.9555555547950628,12.166380296592353,1.8089478872026392,4.911593186537913,1368.6602023857267,1462.6588152142076,23.939339842918187,30.00854397613287,26.146633533610267,20.077429400395587,0.9531175363670255,0.1397647260386587,0.6784209442335254,0.04783383929171238,0.21823427788813393,0.0014744187619123534,0.10203018264919468,0.15190634077437207,0.13054027900788714,0.8775957483598551,0,180,Road,LATAM,75,628,0.17055609658502388,3.5807103046771176
SUP-0019,유한회사 아름,VN,Metals,1456376.1276661516,0.2019983944221203,1.7854287719025104,1.1288564820602076,1.5755705060702734,5.045733841006658,0.9410962718092887,14.023882969191998,3.469801511929266,6.874742225988178,2754.354079836222,4456.383777537633,25.722058393265446,25.584868217727106,39.49371285121507,39.630903026753415,0.974739445144742,0.07641507343829872,0.5767736949668042,0.0026232516264108473,0.6021863045727398,0.0014092540135535348,0.5262405879060029,0.6146602595685913,0.3459932735137303,0.7068377781812534,0,449,Road,AMER,498,709,0.05476406849744832,9.534676792889623
SUP-0020,(주) 신라코어네트워크,BR,Metals,46832141.53019821,0.14503179860231707,1.6935936644077343,1.3020032628952647,0.9900747267020721,7.023976047564275,0.7783670048075166,7.460116058105795,1.566695387746025,10.771356224390273,1939.023250529991,718.5657673751042,47.18913712312008,23.907617541822646,14.114891303486159,37.39641088478359,0.8690067907034121,0.0891845514061857,0.5594332506486321,0.03785974803299774,0.12393527862304456,0.00016579080605307704,0.5504153496350652,0.5027129806649916,0.5902698083978578,0.5510949537275395,0,232,Multimodal,EMEA,224,492,0.024060521745457728,2.617856386746576
SUP-0021,国讯信息有限公司,US,Pharmaceuticals,13187243.002638781,0.19819587414952994,1.5354478297740557,0.987132667622842,2.127395646283496,11.038750406313802,0.9369627656731053,16.798463518082123,3.4464604078350667,3.024470457562465,4974.147502568782,2798.446812721319,52.178786852784825,24.010564919505033,30.80999356856874,58.97821550184854,0.9777737218518385,0.24734666393274005,0.599388239344406,0.03754044039918678,0.24429081132205083,6.600611699209364e-05,0.2710277565504373,0.4867608465661971,0.18311650285917597,0.6970477016879966,0,290,Rail,LATAM,26,372,0.03362619547498449,6.923217329442034
SUP-0022,天开传媒有限公司,AU,Electronics,9197292.291428631,0.20655730144728116,1.1460136303638646,0.8160105086116256,1.7050309015758462,2.5347020644468214,0.8631126726480365,29.36561951502468,1.2791062362068621,3.0332173938423836,1159.7618571893813,942.3404753047221,24.67369095426373,17.101421720168904,35.73724718629137,43.3095164203862,0.8718090509937672,0.07994330185298512,0.6960139955741053,0.0167699054131299,0.08219692151514475,0.001628352301455771,0.1101337648556415,0.5017321836662791,0.0626308199475066,0.6189728954827065,0,3174,Air,LATAM,108,512,0.04960052421296558,3.5170923777984537
